西暦,平均気温,降水量,日照時間,スギ花粉飛散量
1992,23.95,227,179.6,567.8
1993,24.35,203,398.4,2733.4
1994,22.35,276,246,468.6
1995,27.1,37,504.6,5490.5
1996,24.55,397,375,237.5
1997,24.3,175.5,417.2,2323.5
1998,24.4,222,371.5,814.3
1999,24.25,316,287.4,928.8
2000,25.1,211.5,378.6,3919.5
2001,25.35,155,458.9,3380.7
2002,25.25,201,473.8,2622.1
2003,25.6,249.5,419.9,1988.4
2004,22.9,216,264.8,348.8
2005,25.05,120,434.5,4272.4
2006,24.05,316,300.9,339.3
2007,24.7,312,364.6,1107.6
2008,24.25,199.5,342.5,2404.1
2009,24.8,240.5,396,3748.2